,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
24,122,138.95850823903513,1.0,0.6186350282674261,193.6306854202736,10.0,0.12956685554333877,218.64843608681406,1.5,0.8374718021237921,80.25855482338741,1.5,0.47875032114148647,269.59830496936104,10.0,0.19103709459536766,4.5,4.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,24,0,dikesnet
25,132,255.74953097647563,1.0,0.7439871750471032,241.9241035366465,10.0,0.3283324361097901,107.05529029352772,10.0,0.14911208747365193,300.65071090240895,1.0,0.8353967465513986,289.74862463743364,1.0,0.7243142480609455,3.5,1.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,25,0,dikesnet
26,102,91.39064542238366,1.0,0.4986248085313152,176.29119928734445,1.5,0.40492553105377793,239.49127487562552,10.0,0.045328919229372405,274.24093982785257,10.0,0.7281024303371412,295.4553180987997,1.5,0.32817704541398923,1.5,2.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,26,0,dikesnet
27,98,105.28604263017928,1.0,0.0958078223422314,237.73387447528518,10.0,0.6245414700823957,276.49006141964367,10.0,0.7028566479042678,233.96034833861887,1.0,0.5671450538811986,53.78542580002467,1.5,0.8476049047790702,3.5,3.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,27,0,dikesnet
28,3,131.090804661605,10.0,0.6933025992559011,131.47145635108976,1.5,0.8753962806206714,343.2975362077167,1.0,0.9659523002327525,93.24524964046448,1.0,0.6203155641198667,102.13378973035744,1.0,0.7552091615960402,1.5,3.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,28,0,dikesnet
29,71,213.89661490095426,1.0,0.1864110319073601,201.09689733054537,1.0,0.05712920244065242,30.036721058657733,10.0,0.4233523585221026,294.3556870898877,10.0,0.621893557245445,231.6776842557407,10.0,0.3392453050326812,4.5,2.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,29,0,dikesnet
30,83,201.3901852704949,1.5,0.09319094992382689,177.37141864569486,1.5,0.6904316542673313,185.94515620803136,10.0,0.001193947107562801,140.2281868101308,1.0,0.7264618727723504,310.2828783037402,1.0,0.6336688163289341,2.5,4.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,30,0,dikesnet
31,29,216.5727263873919,1.5,0.6171942545024489,95.15714637254499,1.5,0.7578684125598011,237.64311847204684,10.0,0.9374195394454226,253.0208584042538,1.5,0.9367983964800976,257.9588671922759,10.0,0.11197052009332947,4.5,2.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,31,0,dikesnet
32,68,302.85764317949435,1.5,0.6956163310000716,328.3027087300687,1.0,0.2685180045839355,129.76153942837885,10.0,0.2827411567515003,269.2079995456064,10.0,0.04119215300539937,95.51942878284218,1.5,0.7636191922270731,2.5,2.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,32,0,dikesnet
33,96,222.46300481436936,10.0,0.7435496723189052,203.11572359778552,1.0,0.09516844168288159,304.6168719045894,1.5,0.735459216903902,265.6392522368098,1.0,0.03798457848895591,148.49613103171436,1.0,0.007705246103216674,3.5,4.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,33,0,dikesnet
